SMILES,Prediction,Dataset,Features
C#CC1(O)CCC2C3CCC4=CCCCC4C3C(=C)CC21CC,0,sider_cardiacdisorders,Ensemble_selected
C=CC1=C(C)c2cc3[nH]c(cc4[nH]c(cc5nc(cc1n2)C(C)=C5C=C)c(C)c4CCC(=O)[O-])c(CCC(=O)[O-])c3C,1,sider_cardiacdisorders,Ensemble_selected
CC(=CC(=O)OCCCCCCCCC(=O)[O-])CC1OCC(CC2OC2C(C)C(C)O)C(O)C1O,1,sider_cardiacdisorders,Ensemble_selected
CC(=O)C(C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,1,sider_cardiacdisorders,Ensemble_selected
CC(=O)C(O)O,0,sider_cardiacdisorders,Ensemble_selected
CC(=O)C1NC(=O)C(CCCC[NH3+])NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(Cc2ccccc2)NC(=O)C(NC(=O)C([NH3+])Cc2ccccc2)CSSCC(C(=O)NC(CO)C(C)O)[NH2+]C1O,1,sider_cardiacdisorders,Ensemble_selected
CC(=O)OC1CC2CCC3C(CCC4(C)C3CC([N+]3(C)CCCCC3)C4OC(C)=O)C2(C)CC1[N+]1(C)CCCCC1,1,sider_cardiacdisorders,Ensemble_selected
CC(=O)OCC1OC(S)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O,0,sider_cardiacdisorders,Ensemble_selected
CC(=O)[N-]S(=O)(=O)c1ccc(N)cc1,0,sider_cardiacdisorders,Ensemble_selected
CC(C(=O)[O-])c1cccc(C(=O)c2ccccc2)c1,1,sider_cardiacdisorders,Ensemble_selected
CC(C)(CO)C(=O)C(O)[NH2+]CCCO,0,sider_cardiacdisorders,Ensemble_selected
