Dataset,Actviity,SMILES,True_Value,Prediction,Probability,Best_Threshold,Features,Scaled_Probability
cardiotox_with_sider_inactives,Cardiotox (with SIDER inactives),[NH3+]CC(CC(=O)[O-])c1ccc(Cl)cc1,1.0,1,0.5097042452971162,0.5,Ensemble (all models),0.5097042452971162
cardiotox_with_sider_inactives,Cardiotox (with SIDER inactives),OCCOCC[NH+]1CC[NH+](C(c2ccccc2)c2ccc(Cl)cc2)CC1,1.0,1,0.747006595274173,0.5416016694861063,Structural,0.7240463283949952
cardiotox_with_sider_inactives,Cardiotox (with SIDER inactives),OCCOCC[NH+]1CC[NH+](C(c2ccccc2)c2ccc(Cl)cc2)CC1,1.0,1,0.8591870656312114,0.5346172434721845,Mordred,0.8487127720208383
cardiotox_with_sider_inactives,Cardiotox (with SIDER inactives),OCCOCC[NH+]1CC[NH+](C(c2ccccc2)c2ccc(Cl)cc2)CC1,1.0,1,0.6105112280671059,0.4047789187234859,Cell Painting,0.6728200796436892
cardiotox_with_sider_inactives,Cardiotox (with SIDER inactives),OCCOCC[NH+]1CC[NH+](C(c2ccccc2)c2ccc(Cl)cc2)CC1,1.0,1,0.5806564377676863,0.5531705220883274,LINCSL1000,0.5307566051906631
cardiotox_with_sider_inactives,Cardiotox (with SIDER inactives),OCCOCC[NH+]1CC[NH+](C(c2ccccc2)c2ccc(Cl)cc2)CC1,1.0,1,0.5742267761960147,0.5440327794321899,GeneOntology,0.5331098326829554
cardiotox_with_sider_inactives,Cardiotox (with SIDER inactives),OCCOCC[NH+]1CC[NH+](C(c2ccccc2)c2ccc(Cl)cc2)CC1,1.0,1,0.6763185243655896,0.5475010523391409,CellScape,0.6423400791232285
cardiotox_with_sider_inactives,Cardiotox (with SIDER inactives),OCCOCC[NH+]1CC[NH+](C(c2ccccc2)c2ccc(Cl)cc2)CC1,1.0,0,0.4543511312575835,0.48498710804069,MOA,0.4684156792261206
cardiotox_with_sider_inactives,Cardiotox (with SIDER inactives),OCCOCC[NH+]1CC[NH+](C(c2ccccc2)c2ccc(Cl)cc2)CC1,1.0,1,0.8657982788476289,0.7662218798871372,CellScape with Cmax unbound,0.7129720243118101
cardiotox_with_sider_inactives,Cardiotox (with SIDER inactives),OCCOCC[NH+]1CC[NH+](C(c2ccccc2)c2ccc(Cl)cc2)CC1,1.0,1,0.7875555623096558,0.7031858965728724,CellScape with Cmax total,0.6421254326573762
cardiotox_with_sider_inactives,Cardiotox (with SIDER inactives),OCCOCC[NH+]1CC[NH+](C(c2ccccc2)c2ccc(Cl)cc2)CC1,1.0,1,0.5356983314071733,0.4936268288553795,MOA with Cmax unbound,0.5415419940759243
cardiotox_with_sider_inactives,Cardiotox (with SIDER inactives),OCCOCC[NH+]1CC[NH+](C(c2ccccc2)c2ccc(Cl)cc2)CC1,1.0,1,0.5118812592108786,0.4906425098626886,MOA with Cmax total,0.5208485687944477
