Standardized_SMILES,DICTrank
O=C(OC1CC2CC3CC(C1)[NH+]2CC3=O)c1c[nH]c2ccccc12,1
O=c1n(CCC[NH+]2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,1
CC(C)COc1ccc(CNC(=O)[NH+](Cc2ccc(F)cc2)C2CC[NH+](C)CC2)cc1,1
C[NH+](C)C([NH3+])=NC(N)=[NH2+],1
CC(C(=O)[O-])c1ccc(-c2ccccc2)c(F)c1,1
CC(C(=O)[O-])c1cccc(C(=O)c2ccccc2)c1,1
C[NH+](C)C(=O)C(CC[NH+]1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,1
C[NH+](C)CCC=C1c2ccccc2CCc2ccccc21,1
C[NH2+]C(C)Cc1ccccc1,1
CC(=O)[NH+]1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,1
CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,1
CC(=O)N(CC(O)CN(C(C)=O)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,1
C[NH2+]C1CCC(c2ccc(Cl)c(Cl)c2)c2ccccc21,1
Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,1
O=C(C1CCCCC1)[NH+]1CC(=O)[NH+]2CCc3ccccc3C2C1,1
O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,1
O=C1CCC([NH+]2C(=O)c3ccccc3C2=O)C(=O)N1,1
CC12CCC3c4ccc(OS(=O)(=O)[O-])cc4CCC3C1CCC2=O,1
C[NH+]1CCc2cccc3c2C1Cc1ccc([O-])c([O-])c1-3,1
Cc1ccc(C(=O)Nc2ccc(C[NH+]3CC[NH+](C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,1
O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1cnc(N2CCC(O)C2)c(-c2cc[n-]n2)c1,1
CC(C)(C)c1ccc(C(O)CCC[NH+]2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,1
Cn1nc(C(=O)NC2CC3CCCC(C2)[NH+]3C)c2ccccc21,1
Clc1ccc(CCCOCCC[NH+]2CCCCC2)cc1,1
[O-]c1cc2cc(CC[NH+]3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2[n-]1,1
CC[NH+](CC)CCNC(=O)c1ccc(N)cc1,1
CC(C)Cc1ccc(C(C)C(=O)[O-])cc1,1
CC(C)CC([NH+](C)C)C1(c2ccc(Cl)cc2)CCC1,1
Cc1nnc(C(C)C)n1C1CC2CCC(C1)[NH+]2CCC(NC(=O)C1CCC(F)(F)CC1)c1ccccc1,1
C=CC1C[NH+]2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,1
CC(C)c1cccc(C(C)C)c1[O-],1
CCn1cc(C(=O)[O-])c(=O)c2cc(F)c(N3CC[NH2+]C(C)C3)c(F)c21,1
CC[NH+]1CC(CC[NH+]2CCOCC2)C(c2ccccc2)(c2ccccc2)C1=O,1
CC(C)CC(NC(=O)C(CCc1ccccc1)NC(=O)C[NH+]1CCOCC1)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(C)C)C(=O)C1(C)CO1,1
CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,1
CC(=O)NC(Cc1ccc2ccccc2c1)C(=O)NC(Cc1ccc(Cl)cc1)C(=O)NC(Cc1cccnc1)C(=O)NC(CO)C(=O)NC(Cc1ccc(NC(O)c2cc(=O)[n-]c(=O)[n-]2)cc1)C(=O)NC(Cc1ccc(NC(N)=O)cc1)C(O)=NC(CC(C)C)C(O)=NC(CCCC[NH2+]C(C)C)C(=O)[NH+]1CCCC1C(O)=NC(C)C(N)=O,1
CC(C)CC(C[NH3+])CC(=O)[O-],1
CC[NH+](CC)CC=NC(=O)c1c(C)[nH]c(Cc2c([O-])[n-]c3ccc(F)cc23)c1C,1
CC(C)c1nc(C[NH+](C)C(=O)NC(C(=O)NC(Cc2ccccc2)CC(O)C(Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,1
CC(C)(Sc1cc(C(C)(C)C)c([O-])c(C(C)(C)C)c1)Sc1cc(C(C)(C)C)c([O-])c(C(C)(C)C)c1,1
COc1ccc2c3c1OC1C(=O)CCC4C(C2)[NH+](C)CCC314,1
CC(C)([NH3+])Cc1ccccc1,1
[O-]c1ccc([O-])c2c([O-])c3c(NCC[NH2+]CCO)ccc(NCC=NCCO)c3c([O-])c12,1
