pert_id,pert_iname,pubchem_cid,SMILES
BRD-A00037023,BRD-A00037023,,CCOC(=O)C1=C(C)N=C2SC(=CC(=O)N2C1c1ccc(OC)cc1)C(=O)OC
BRD-A00051892,BRD-A00051892,,N#Cc1nc(oc1NCC1CCCO1)-c1cccs1
BRD-A00100033,NIFURTIMOX,6842999,CC1CS(=O)(=O)CCN1N=Cc1ccc(o1)[N+]([O-])=O
BRD-A00150179,5-HYDROXYTRYPTOPHAN,589768,NC(Cc1c[nH]c2cccc(O)c12)C(O)=O
BRD-A00214921,BRD-A00214921,,CCc1ccccc1NS(=O)(=O)c1ccc2[nH]cc(C(=O)NCC3CCCO3)c(=O)c2c1
BRD-A00250346,BRD-A00250346,,CC1=C(C(C2C(=O)CCCC2=N1)c1coc2ccc(Cl)cc2c1=O)C(=O)OCC1CCCO1
BRD-A00267231,HEMADO,4043357,CCCCC#Cc1nc(NC)c2ncn(C3OC(CO)C(O)C3O)c2n1
BRD-A00327403,(+)-UH 232 MALEATE,,CCCN(CCC)C1CCc2c(OC)cccc2C1C
BRD-A00345268,BRD-A00345268,,COc1ccc(cc1)N1CC(CC1=O)C(=O)Nc1cc(C)ccn1
BRD-A00420644,SA-3676,2853908,CCN1C2C(C(=NC2Nc3ccccc13)OC)c4ccccc4
BRD-A00430899,BRD-A00430899,,COC(=O)C1=C(CSc2nc3CCN(C)Cc3cc2C#N)OC(N)=C(C#N)C1c1ccc(F)cc1
BRD-A00474148,BRD-A00474148,44825297,Oc1ccc(cc1)N1CCN(CC1)[S+]([O-])(=O)c1ccc2NC(=O)Cc2c1
BRD-A00489811,BRD-A00489811,,CCCC(C)C(=O)Nc1nc(C)c(s1)-c1csc(Nc2cc(OC)ccc2OC)n1
BRD-A00520476,OTENZEPAD,107867,CCN(CC)CC1CCCCN1CC(=O)N1c2ccccc2C(=O)Nc2cccnc12
BRD-A00522887,BRD-A00522887,,CC(=O)Nc1ccc(cc1)C1NC(=O)c2ccccc2O1
BRD-A00546892,BIPERIDEN,92151,OC(CCN1CCCCC1)(C2CC3CC2C=C3)c4ccccc4
BRD-A00595016,BRD-A00595016,,COc1cccc(NC(=O)C2CCCN(C2)S(=O)(=O)c2ccc(cc2)-n2cnnn2)c1
BRD-A00626522,BRD-A00626522,16746329,COc1ccc(cc1)C(CC(=O)N2CCCC(C)C2)c3c(O)cc(OC)cc3OC
BRD-A00650952,BRD-A00650952,,Fc1cccc(c1)N(C(C(=O)NC1CCCC1)c1ccncc1)C(=O)CCC(=O)Nc1cccnc1
BRD-A00680357,BRD-A00680357,,CCOC(=O)c1sc2nc(C)nc(SCC(=O)NC3CCS(=O)(=O)C3)c2c1C
BRD-A00697544,BRD-A00697544,,COc1ccc(C2NC(=O)c3[nH]nc(C)c23)c(OC)c1
BRD-A00710263,BRD-A00710263,,Cc1ccc2nc(O)c(cc2c1)C(N1CCc2ccccc2C1)c1nnnn1CC1CCCO1
BRD-A00722675,BRD-A00722675,,CC1CCCN(C1)C(C(=O)Nc1ccc2OCOc2c1)c1ccccc1
BRD-A00755391,BRD-A00755391,,CC12COC3(CC1CCC23CP(=O)(c1ccccc1)c1ccccc1)P(=O)(c1ccccc1)c1ccccc1
BRD-A00758722,NORETYNODREL,5702095,C[C@@]12CCC3C(CCC4=C3CCC(=O)C4)C2CC[C@@]1(O)C#C
BRD-A00763758,BRD-A00763758,43209100,COc1cc(ccc1O)C(O)C(C)N
BRD-A00776891,BRD-A00776891,,Clc1cccc(Cl)c1NC(=S)NC(NC(=O)OCc1ccccc1)C(Cl)(Cl)Cl
BRD-A00827783,DYPHYLLINE,3182,Cn1c2ncn(CC(O)CO)c2c(=O)n(C)c1=O
BRD-A00881124,BRD-A00881124,,CCC1CCCCN1CC(=O)c1c(C)[nH]c2ccccc12
BRD-A00983620,BRD-A00983620,,O=C(NC1CCCCC1)C(OC(=O)c1ccco1)c1ccccc1
BRD-A00993607,ALPRENOLOL,66368,CC(C)NCC(O)COc1ccccc1CC=C
BRD-A01004828,BRD-A01004828,,CC(Sc1nnnn1-c1ccccc1)C(=O)Nc1ccc(Cl)cn1
BRD-A01039955,BRD-A01039955,,CC1(C)N(O)C(N=C1c1ccccc1)c1cccnc1
BRD-A01047964,BRD-A01047964,,O=C(NCc1ccccc1)C(C#N)c1nc2ccccc2nc1N1CCCC1
BRD-A01078468,HEXESTROL,3606,CCC(C(CC)c1ccc(O)cc1)c1ccc(O)cc1
BRD-A01145011,ZEBULARINE,46783268,OC[C@H]1O[C@H](C(O)[C@H]1O)n2cccnc2=O
BRD-A01183300,BRD-A01183300,,Cc1cccn2c1nc1n(C3CCCC3)c(=N)c(cc1c2=O)C(=O)NCC1CCCO1
BRD-A01283587,BRD-A01283587,,COc1cccc(C2CC(=NN2S(C)(=O)=O)c2c(O)nc3ccc(Cl)cc3c2-c2ccccc2)c1OC
BRD-A01295252,TRANS-7-HYDROXY-PIPAT,6305587,CCCN(C\C=C\I)C1CCc2ccc(O)cc2C1
BRD-A01315431,BRD-A01315431,,O=C1NC(Nc2ccccc12)c1ccncc1
BRD-A01317026,"7,8-DIHYDRO-L-BIOPTERIN",71684472,CC(O)[C@H](O)C1=Nc2c(NC1)nc(N)[nH]c2=O
BRD-A01320529,SALMETEROL,5152,OCc1cc(ccc1O)C(O)CNCCCCCCOCCCCc1ccccc1
BRD-A01346607,FLUMETASONE,5702178,C[C@@H]1CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
BRD-A01392766,BRD-A01392766,,CC(N(C)C)c1ccccc1C(O)c1ccccc1
BRD-A01393306,BRD-A01393306,,CC1CCc2c(C1)sc1ncnc(N3CCOCC3)c21
BRD-A01403444,BRD-A01403444,,COc1cccc(c1)C1C(C(=O)c2ccc3OCCOc3c2)C(=O)C(=O)N1CCN(C)C
BRD-A01465246,BRD-A01465246,,COc1ccc(cc1)C1CC(=O)N2CN(Cc3ccco3)CSC2=C1C#N
BRD-A01482803,BRD-A01482803,,COc1ccc(Cl)cc1C(=O)NCC(N1CCCC1)c1ccco1
BRD-A01493904,WB 4101,,COc1cccc(OC)c1OCCNCC1COc2ccccc2O1
