INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,SMILES
HYALURONIC ACID,Approved Name,DTXSID7046750,Hyaluronic acid,N/A
Olanzapine pamoate,Approved Name,DTXSID50944788,Olanzapine pamoate,O.CN1CCN(CC1)C1=C2C=C(C)SC2=NC2=CC=CC=C2N1.OC(=O)C1=CC2=CC=CC=C2C(CC2=C(O)C(=CC3=CC=CC=C23)C(O)=O)=C1O
Trimethobenzamide Hydrochloride,Approved Name - WARNING: Synonym mapped to two or more chemicals,DTXSID7047774,Trimethobenzamide hydrochloride,Cl.COC1=CC(=CC(OC)=C1OC)C(=O)NCC1=CC=C(OCCN(C)C)C=C1
Trimethobenzamide Hydrochloride,Synonym - WARNING: Synonym mapped to two or more chemicals,DTXSID0021709,Benzamide,NC(=O)C1=CC=CC=C1
PENICILLIN G BENZATHINE,Expert Validated Synonym,DTXSID2047804,Benzathine penicillin G,C(CNCC1=CC=CC=C1)NCC1=CC=CC=C1.[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)CC1=CC=CC=C1)C(O)=O.[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)CC1=CC=CC=C1)C(O)=O
paliperidone palmitate,Synonym from Valid Source,DTXSID70870217,"3-{2-[4-(6-Fluoro-1,2-benzoxazol-3-yl)piperidin-1-yl]ethyl}-2-methyl-4-oxo-6,7,8,9-tetrahydro-4H-pyrido[1,2-a]pyrimidin-9-yl hexadecanoate",CCCCCCCCCCCCCCCC(=O)OC1CCCN2C(=O)C(CCN3CCC(CC3)C3=NOC4=CC(F)=CC=C34)=C(C)N=C12
TESTOSTERONE UNDECANOATE,Searched by Synonym: Found 0 results,N/A,N/A,N/A
aripiprazole lauroxil,Approved Name,DTXSID60154997,Aripiprazole lauroxil,CCCCCCCCCCCC(=O)OCN1C(=O)CCC2=C1C=C(OCCCCN1CCN(CC1)C1=C(Cl)C(Cl)=CC=C1)C=C2
PASIREOTIDE,Approved Name,DTXSID501026040,Pasireotide,[H][C@@]12C[C@H](CN1C(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC1=CC=C(OCC3=CC=CC=C3)C=C1)NC(=O)[C@@H](CCCCN)NC(=O)[C@@H](CC1=CNC3=C1C=CC=C3)NC(=O)[C@@]([H])(NC2=O)C1=CC=CC=C1)OC(=O)NCCN
triptorelin,Approved Name,DTXSID2048375,Triptorelin,CC(C)C[C@H](NC(=O)[C@@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O
