Trade Name,Generic/Proper Name(s),Active Ingredient(s),DICT _ Concern,INPUT,SMILES
zyprexa relprevv,olanzapine pamoate,olanzapine pamoate,less,olanzapine pamoate,O.CN1CCN(CC1)C1=C2C=C(C)SC2=NC2=CC=CC=C2N1.OC(=O)C1=CC2=CC=CC=C2C(CC2=C(O)C(=CC3=CC=CC=C23)C(O)=O)=C1O
tigan,trimethobenzamide hydrochloride,trimethobenzamide hydrochloride,no,trimethobenzamide hydrochloride,Cl.COC1=CC(=CC(OC)=C1OC)C(=O)NCC1=CC=C(OCCN(C)C)C=C1
bicillin l-a,penicillin g benzathine,penicillin g benzathine,less,penicillin g benzathine,C(CNCC1=CC=CC=C1)NCC1=CC=CC=C1.[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)CC1=CC=CC=C1)C(O)=O.[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)CC1=CC=CC=C1)C(O)=O
invega hafyera,paliperidone palmitate,paliperidone palmitate,most,paliperidone palmitate,CCCCCCCCCCCCCCCC(=O)OC1CCCN2C(=O)C(CCN3CCC(CC3)C3=NOC4=CC(F)=CC=C34)=C(C)N=C12
aristada,aripiprazole lauroxil,aripiprazole lauroxil,less,aripiprazole lauroxil,CCCCCCCCCCCC(=O)OCN1C(=O)CCC2=C1C=C(OCCCCN1CCN(CC1)C1=C(Cl)C(Cl)=CC=C1)C=C2
signifor lar,pasireotide,pasireotide,most,pasireotide,[H][C@@]12C[C@H](CN1C(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC1=CC=C(OCC3=CC=CC=C3)C=C1)NC(=O)[C@@H](CCCCN)NC(=O)[C@@H](CC1=CNC3=C1C=CC=C3)NC(=O)[C@@]([H])(NC2=O)C1=CC=CC=C1)OC(=O)NCCN
triptodur,triptorelin,triptorelin,less,triptorelin,CC(C)C[C@H](NC(=O)[C@@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O
vivitrol,naltrexone,naltrexone,less,naltrexone,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CC3)[C@]([H])(C4)[C@]1(O)CCC2=O
fulvestrant,fulvestrant,fulvestrant,no,fulvestrant,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(C[C@@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)[C@@]21[H])C=C(O)C=C3
aquasol a,vitamin a palmitate,vitamin a palmitate,ambiguous,vitamin a palmitate,CCCCCCCCCCCCCCCC(=O)OC\C=C(/C)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C
