Trade Name,Generic/Proper Name(s),Active Ingredient(s),SMILES,DICT _ Concern
zyprexa relprevv,olanzapine pamoate,olanzapine pamoate,O.CN1CCN(CC1)C1=C2C=C(C)SC2=NC2=CC=CC=C2N1.OC(=O)C1=CC2=CC=CC=C2C(CC2=C(O)C(=CC3=CC=CC=C23)C(O)=O)=C1O,less
indium in 111 oxyquinoline,indium in-111 oxyquinoline,indium in-111 oxyquinoline,[111In+3].[O-]C1=CC=CC2=C1N=CC=C2.[O-]C1=CC=CC2=C1N=CC=C2.[O-]C1=CC=CC2=C1N=CC=C2,no
ammonia n 13,ammonia n-13,ammonia n-13,[13NH3],no
sodium fluoride f 18,sodium fluoride f 18,sodium fluoride f-18,[18F][Na],no
tauvid,flortaucipir f-18,flortaucipir f-18,[18F]C1=NC=C(C=C1)C1=CC2=C(C=C1)C1=C(N2)C=CN=C1,no
gallium,gallium citrate ga-67,gallium citrate ga-67,[67Ga+3].OC(CC([O-])=O)(CC([O-])=O)C([O-])=O,no
gallium citrate ga-67,gallium citrate ga-67,gallium chloride ga-67,[67Ga+3].OC(CC([O-])=O)(CC([O-])=O)C([O-])=O,no
technetium tc 99m sestamibi,technetium tc 99m sestamibi,technetium tc-99m sestamibi,[99Tc+].COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-],less
ridaura,auranofin,auranofin,[Au+].CCP(CC)CC.CC(=O)OC[C@H]1O[C@@H]([S-])[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,no
entero vu 24%,barium sulfate,barium sulfate,[Ba++].[O-]S([O-])(=O)=O,ambiguous
pancuronium bromide,pancuronium bromide,pancuronium bromide,[Br-].[Br-].[H][C@@]1(C[C@@]2([H])[C@]3([H])CC[C@@]4([H])C[C@H](OC(C)=O)[C@]([H])(C[C@]4(C)C3CC[C@]2(C)[C@H]1OC(C)=O)[N+]1(C)CCCCC1)[N+]1(C)CCCCC1,ambiguous
methscopolamine bromide,methscopolamine bromide,methscopolamine bromide,[Br-].[H][C@@]12O[C@]1([H])[C@H]1C[C@H](C[C@@H]2[N+]1(C)C)OC(=O)[C@H](CO)C1=CC=CC=C1,less
relistor,methylnaltrexone bromide,methylnaltrexone bromide,[Br-].[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CC[N+](C)(CC3CC3)[C@H](C4)[C@]1(O)CCC2=O,less
glycopyrrolate,glycopyrrolate,glycopyrrolate,[Br-].C[N+]1(C)CCC(C1)OC(=O)C(O)(C1CCCC1)C1=CC=CC=C1,less
rocuronium,rocuronium,rocuronium bromide,[Br-].CC(=O)O[C@H]1[C@H](C[C@H]2[C@@H]3CC[C@H]4C[C@H](O)[C@H](C[C@]4(C)[C@H]3CC[C@]12C)N1CCOCC1)[N+]1(CC=C)CCCC1,less
vecuronium bromide,vecuronium bromide,vecuronium bromide,[Br-].CC(=O)O[C@H]1[C@H](C[C@H]2[C@@H]3CC[C@H]4C[C@H](OC(C)=O)[C@H](C[C@]4(C)[C@H]3CC[C@]12C)N1CCCCC1)[N+]1(C)CCCCC1,ambiguous
propantheline bromide,propantheline bromide,propantheline bromide,[Br-].CC(C)[N+](C)(CCOC(=O)C1C2=CC=CC=C2OC2=C1C=CC=C2)C(C)C,less
pryidostigmine bromide,pyridostigmine bromide,pyridostigmine bromide,[Br-].CN(C)C(=O)OC1=CC=C[N+](C)=C1,no
incruse ellipta,umeclidinium,umeclidinium bromide,[Br-].OC(C1=CC=CC=C1)(C1=CC=CC=C1)C12CC[N+](CCOCC3=CC=CC=C3)(CC1)CC2,less
calcium acetate,calcium acetate,calcium acetate,[Ca++].CC([O-])=O.CC([O-])=O,no
acamprosate calcium,acamprosate calcium,acamprosate calcium,[Ca++].CC(=O)NCCCS([O-])(=O)=O.CC(=O)NCCCS([O-])(=O)=O,less
rosuvastatin calcium,rosuvastatin calcium,rosuvastatin calcium,[Ca++].CC(C)C1=C(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)C(=NC(=N1)N(C)S(C)(=O)=O)C1=CC=C(F)C=C1.CC(C)C1=C(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)C(=NC(=N1)N(C)S(C)(=O)=O)C1=CC=C(F)C=C1,no
fosamprenavir calcium,fosamprenavir calcium,fosamprenavir calcium,[Ca++].CC(C)CN(C[C@@H](OP([O-])([O-])=O)[C@H](CC1=CC=CC=C1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)C1=CC=C(N)C=C1,less
atorvastatin calcium,atorvastatin calcium,atorvastatin calcium propylene glycol solvate,[Ca++].CC(O)CO.CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CC[C@@H](O)C[C@@H](O)CC([O-])=O)C1=CC=C(F)C=C1)C1=CC=CC=C1.CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CC[C@@H](O)C[C@@H](O)CC([O-])=O)C1=CC=C(F)C=C1)C1=CC=CC=C1,no
levoleucovorin,levoleucovorin,levoleucovorin calcium,[Ca++].NC1=NC(=O)C2=C(NC[C@H](CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC([O-])=O)C([O-])=O)N2C=O)N1,no
leucovorin calcium,leucovorin calcium,leucovorin calcium,[Ca++].NC1=NC(=O)C2=C(NCC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC([O-])=O)C([O-])=O)N2C=O)N1,no
livalo,pitavastatin calcium,pitavastatin calcium,[Ca++].O[C@H](C[C@H](O)\C=C\C1=C(C2=CC=C(F)C=C2)C2=C(C=CC=C2)N=C1C1CC1)CC([O-])=O.O[C@H](C[C@H](O)\C=C\C1=C(C2=CC=C(F)C=C2)C2=C(C=CC=C2)N=C1C1CC1)CC([O-])=O,no
calcium gluconate,calcium gluconate,calcium gluconate monohydrate,[Ca++].OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C([O-])=O.OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C([O-])=O,most
xofigo,radium ra 223 dichloride,radium ra-223 dichloride,[Cl-].[Cl-].[223Ra++],no
calcium chloride,calcium chloride,calcium chloride,[Cl-].[Cl-].[Ca++],no
copper,cupric chloride,cupric chloride,[Cl-].[Cl-].[Cu++],no
manganese,manganese chloride,manganese chloride,[Cl-].[Cl-].[Mn++],no
ultratag rbc,technetium tc 99m-labeled red blood cells,stannous chloride,[Cl-].[Cl-].[Sn++],no
zinc chloride,zinc chloride,zinc chloride,[Cl-].[Cl-].[Zn++],less
succinylcholine chloride,succinylcholine chloride,succinylcholine chloride,[Cl-].[Cl-].C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,most
trospium chloride,trospium chloride,trospium chloride,[Cl-].[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1)[N+]21CCCC1,less
potassium chloride,potassium chloride,potassium chloride,[Cl-].[K+],ambiguous
thallous chloride tl 201,thallous chloride tl-201,thallous chloride tl-201,[Cl-].[Tl+],ambiguous
protopam chloride,pralidoxime chloride,pralidoxime chloride,[Cl-].C[N+]1=C(\C=N\O)C=CC=C1,less
miochol e,acetylcholine chloride,acetylcholine chloride,[Cl-].CC(=O)OCC[N+](C)(C)C,less
bethanechol chloride,bethanechol chloride,bethanechol chloride,[Cl-].CC(C[N+](C)(C)C)OC(N)=O,less
enlon,edrophonium chloride,edrophonium chloride,[Cl-].CC[N+](C)(C)C1=CC(O)=CC=C1,most
livmarli,maralixibat chloride,maralixibat chloride,[Cl-].CCCCC1(CCCC)CS(=O)(=O)C2=CC=C(C=C2[C@H]([C@H]1O)C1=CC=C(OCC2=CC=C(C[N+]34CCN(CC3)CC4)C=C2)C=C1)N(C)C,no
cyanocobalamin,cyanocobalamin,cyanocobalamin,[Co+3].[C-]#N.[H]C1(O)[C@H](OP([O-])(=O)O[C@H](C)CNC(=O)CC[C@]2(C)[C@@H](CC(N)=O)[C@@]3([H])[N-]\C2=C(C)/C2=N/C(=C\C4=N\C(=C(C)/C5=N[C@]3(C)[C@@](C)(CC(N)=O)[C@@H]5CCC(N)=O)\[C@@](C)(CC(N)=O)[C@@H]4CCC(N)=O)/C(C)(C)[C@@H]2CCC(N)=O)[C@@H](CO)O[C@@H]1N1C=NC2=C1C=C(C)C(C)=C2,less
paragard t 380a,copper,copper,[Cu],no
