INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,SMILES
Indium In 111 Oxyquinoline,Approved Name,DTXSID70984005,Indium In 111 Oxyquinoline,[111In+3].[O-]C1=CC=CC2=C1N=CC=C2.[O-]C1=CC=CC2=C1N=CC=C2.[O-]C1=CC=CC2=C1N=CC=C2
Ammonia N 13,Expert Validated Synonym,DTXSID601027603,Ammonia-13N,[13NH3]
Sodium Fluoride F 18,Expert Validated Synonym,DTXSID001027605,Sodium fluoride-18F,[18F][Na]
TAUVID,Synonym,DTXSID001027893,Flortaucipir F 18,[18F]C1=NC=C(C=C1)C1=CC2=C(C=C1)C1=C(N2)C=CN=C1
GALLIUM CITRATE GA-67,Approved Name,DTXSID70194107,Gallium citrate Ga 67,[67Ga+3].OC(CC([O-])=O)(CC([O-])=O)C([O-])=O
Ga-68-DOTATOC,Expert Validated Synonym,DTXSID601027889,Gallium 68 DOTATOC,[68Ga+3].[H][C@]1(NC(=O)[C@H](CCCCN)NC(=O)[C@@H](CC2=CNC3=CC=CC=C23)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)[C@H](CSSC[C@H](NC1=O)C(=O)N[C@H](CO)[C@@H](C)O)NC(=O)[C@@H](CC1=CC=CC=C1)NC(=O)CN1CCN(CC([O-])=O)CCN(CC([O-])=O)CCN(CC([O-])=O)CC1)[C@@H](C)O
Technetium Tc 99m Sestamibi,Approved Name,DTXSID00911248,Technetium Tc 99m sestamibi,[99Tc+].COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-]
TECHNETIUM TC 99M SESTAMIBI,Approved Name,DTXSID00911248,Technetium Tc 99m sestamibi,[99Tc+].COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-]
Choletec,Approved Name - WARNING: Synonym mapped to two or more chemicals,DTXSID301026713,Choletec,[99Tc+3].CC1=CC(C)=C(NC(=O)CN(CC([O-])=O)CC([O-])=O)C(C)=C1Br.CC1=CC(C)=C(NC(=O)CN(CC([O-])=O)CC([O-])=O)C(C)=C1Br
RIDAURA,Synonym from Valid Source,DTXSID4020115,Auranofin,[Au+].CCP(CC)CC.CC(=O)OC[C@H]1O[C@@H]([S-])[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O
Pancuronium Bromide,Approved Name,DTXSID9023415,Pancuronium bromide,[Br-].[Br-].[H][C@@]1(C[C@@]2([H])[C@]3([H])CC[C@@]4([H])C[C@H](OC(C)=O)[C@]([H])(C[C@]4(C)C3CC[C@]2(C)[C@H]1OC(C)=O)[N+]1(C)CCCCC1)[N+]1(C)CCCCC1
METHSCOPOLAMINE BROMIDE,Synonym from Valid Source - WARNING: Synonym mapped to two or more chemicals,DTXSID2040608,N-Methylhyoscinium bromide,[Br-].[H][C@@]12O[C@]1([H])[C@H]1C[C@H](C[C@@H]2[N+]1(C)C)OC(=O)[C@H](CO)C1=CC=CC=C1
Relistor,Expert Validated Synonym,DTXSID30868236,Naltrexone methobromide,[Br-].[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CC[N+](C)(CC3CC3)[C@H](C4)[C@]1(O)CCC2=O
